X,Y
0,26.9374
1,26.9999
2,27.0000
3,26.9981
4,26.0639
5,26.0002
6,26.0000
7,25.9990
8,26.0009
9,26.3157
10,26.9588
11,27.0010
12,26.9991
13,26.0615
14,25.6894
15,26.2916
16,26.3362
17,26.9572
18,26.6887
19,26.0433
20,25.6889
21,25.6658
22,25.6676
23,25.9807
24,26.3111
25,26.3342
26,26.6462
27,26.6687
28,26.3560
29,26.6461
30,26.6658
31,27.5985
32,27.9761
33,27.0663
34,26.6896
35,26.9791
36,27.3124
37,27.9570
38,28.0010
39,27.6869
40,27.0442
41,27.0000
42,27.3130
43,27.6464
44,27.6687
45,27.6707
46,28.6005
47,29.5972
48,30.2861
49,32.1955
50,34.8194
51,40.5930
52,50.0084
53,59.6745
54,68.0990
55,72.7052
56,73.3144
57,70.5427
58,65.9888
59,60.3939
60,55.3486
61,52.2090
62,48.9013
63,46.1896
64,45.0723
65,44.0675
66,42.7594
67,42.3577
68,42.3334
69,41.7120
70,41.0501
71,41.3118
72,40.7172
73,40.6679
74,40.3573
75,40.0230
76,39.3812
77,39.3333
78,39.6388
79,39.0489
80,38.6928
81,38.0486
82,37.3819
83,37.3333
84,38.2602
85,38.6403
86,37.4329
87,37.3354
88,38.2608
89,39.5664
90,39.9723
91,39.3825
92,39.6429
93,40.2819
94,40.3322
95,40.3333
96,40.3333
97,40.6397
98,40.6636
99,39.4345
100,38.7190
101,39.2831
102,39.9495
103,39.6901
104,39.3585
105,39.3305
106,38.1016
107,37.0775
108,37.6166
109,37.6667
110,37.0532
111,36.3887
112,36.0289
113,35.6946
114,36.2818
115,35.4120
116,33.7984
117,33.3614
118,33.3344
119,32.4117
120,31.7199
121,31.3587
122,31.6394
123,31.3586
124,30.4114
125,29.4106
126,28.7194
127,28.6667
128,28.0521
129,27.3874
130,26.4162
131,26.3355
132,27.2542
133,27.6399
134,26.7463
135,25.7473
136,25.3603
137,24.7226
138,25.5857
139,25.6667
140,24.7500
141,25.5852
142,25.6648
143,25.9706
144,25.3888
145,25.0284
146,25.3050
147,25.0284
148,24.6952
149,23.7533
150,24.8917
151,25.0030
152,24.6966
153,23.7521
154,23.9723
155,24.6099
156,24.9739
157,24.3914
158,24.0282
159,23.9991
160,23.6938
161,23.9717
162,24.3051
163,24.0264
164,23.9979
165,23.6958
166,25.1893
167,25.0283
168,24.6962
169,24.9706
170,24.3905
171,23.4194
172,23.0287
173,23.3064
174,24.5505
175,24.9691
176,24.3910
177,24.3333
178,24.9419
179,24.3906
180,24.0290
181,24.3032
182,24.6345
183,24.0583
184,24.0028
185,24.6091
186,24.3619
187,24.3323
188,24.6370
189,24.6667
190,25.2722
191,25.6359
192,25.3639
193,25.9415
194,26.3064
195,26.6389
196,26.9703
197,27.0000
198,28.5156
199,28.9689
200,29.9095
201,31.5158
202,32.5760
203,33.2747
204,33.9405
205,34.9090
206,35.3038
207,35.9401
208,36.0010
209,36.6056
210,36.9713
211,37.9082
212,38.0000
213,38.6051
214,39.8786
215,40.3055
216,40.6398
217,41.5751
218,42.2723
219,43.8438
220,45.5119
221,46.8754
222,47.2993
223,47.3312
224,47.6333
225,47.6655
226,48.5714
227,48.9712
228,49.3049
229,49.3374
230,50.8423
231,51.6033
232,53.1729
233,53.6338
234,53.9671
235,54.0008
236,54.3043
237,55.5419
238,56.8713
239,56.9980
240,56.7005
241,57.8743
242,58.3033
243,58.6337
244,59.2714
245,60.2403
246,61.2393
247,62.5371
248,63.8690
249,64.3025
250,65.8381
251,66.6014
252,67.2688
253,67.3372
254,68.2362
255,68.3334
256,68.9360
257,69.6019
258,70.8652
259,71.3000
260,71.9338
261,73.2016
262,74.5339
263,76.1680
264,76.9344
265,77.3001
266,78.2312
267,79.5289
268,80.5639
269,81.2669
270,82.5333
271,84.1642
272,84.6329
273,84.6667
274,85.2666
275,85.9342
276,86.0039
277,87.7957
278,89.4956
279,89.6656
280,90.5642
281,91.8643
282,92.0010
283,93.1955
284,95.4255
285,95.9646
286,95.9990
287,97.1973
288,99.1274
289,101.7190
290,102.5951
291,103.2638
292,104.5297
293,105.5635
294,107.4570
295,108.5629
296,110.4583
297,111.8603
298,112.8922
299,113.0006
300,114.4913
301,115.8575
302,116.8951
303,117.2982
304,117.3315
305,118.2261
306,120.1199
307,120.6320
308,120.3680
309,120.0345
310,120.2958
311,121.5192
312,121.3694
313,121.0368
314,120.4041
315,120.3332
316,120.3324
317,120.3314
318,118.5473
319,116.5485
320,115.4406
321,115.3332
